Times (us),interval (us),strain (raw),sensorValue0 (raw)
13015036,12500,2764792,517
13027540,12504,2765316,517
13040040,12500,2766208,517
13052540,12500,2766941,517
13065040,12500,2767158,517
13077540,12500,2765854,517
13090040,12500,2765132,517
13102540,12500,2764652,517
13115040,12500,2764878,517
13127540,12500,2765802,517
13140044,12504,2766693,517
13152544,12500,2766882,517
13165048,12504,2766680,517
13177548,12500,2766022,517
13190052,12504,2764749,517
13202552,12500,2764784,517
13215052,12500,2765447,517
13227552,12500,2766383,517
13240052,12500,2766925,517
13252556,12504,2766610,517
13265060,12504,2765829,517
13277564,12504,2765085,517
13290064,12500,2764791,517
13302564,12500,2765540,516
13315064,12500,2766347,516
13327564,12500,2766910,516
13340068,12504,2766871,518
13352568,12500,2766228,517
13365068,12500,2765442,517
13377568,12500,2764879,517
13390068,12500,2764733,517
13402568,12500,2765261,518
13415068,12500,2766411,517
13427572,12504,2766261,517
