Times (us),interval (us),strain (raw),sensorValue0 (raw)
9854604,12504,2763038,522
9867104,12500,2762687,522
9879604,12500,2762606,522
9892104,12500,2762735,522
9904604,12500,2762762,522
9917104,12500,2762516,522
9929604,12500,2762718,522
9942104,12500,2762879,522
9954608,12504,2762650,522
9967112,12504,2762426,522
9979612,12500,2762669,522
9992112,12500,2762790,522
10004616,12504,2762742,522
10017116,12500,2762461,522
10029620,12504,2762732,522
10042124,12504,2762752,522
10054628,12504,2762616,522
10067128,12500,2762541,519
10079632,12504,2762547,518
10092132,12500,2762702,518
10104632,12500,2762677,518
10117132,12500,2762508,518
10129632,12500,2762633,518
10142132,12500,2762765,518
10154636,12504,2762732,518
10167136,12500,2762762,521
10179636,12500,2762654,521
10192136,12500,2762675,522
10204640,12504,2762822,522
10217144,12504,2762630,522
10229644,12500,2762526,522
10242144,12500,2762593,521
10254644,12500,2762555,521
10267144,12500,2762412,521
10279648,12504,2762437,521
10292148,12500,2762615,522
10304648,12500,2762738,521
10317148,12500,2762755,521
10329648,12500,2762684,521
10342152,12504,2762597,521
10354656,12504,2762455,521
10367156,12500,2762703,521
10379660,12504,2762507,521
10392164,12504,2762484,522
10404664,12500,2762608,522
10417164,12500,2762708,522
10429668,12504,2762571,522
10442168,12500,2762565,522
10454672,12504,2762710,521
10467172,12500,2762648,518
10479676,12504,2762573,518
10492176,12500,2762796,518
10504676,12500,2762841,518
10517176,12500,2762779,518
10529680,12504,2762655,517
10542180,12500,2762682,518
10554680,12500,2762863,518
10567180,12500,2762632,517
10579680,12500,2762531,518
10592184,12504,2762595,518
10604684,12500,2762827,518
10617184,12500,2762941,518
10629684,12500,2762747,518
10642188,12504,2762655,519
10654688,12500,2762660,518
10667188,12500,2762634,518
10679688,12500,2762691,519
10692188,12500,2762584,521
10704688,12500,2762667,521
10717192,12504,2762842,522
10729692,12500,2762769,522
10742192,12500,2762582,522
10754692,12500,2762432,522
10767196,12504,2762570,522
10779696,12500,2762578,522
10792200,12504,2762411,522
10804704,12504,2762364,522
10817204,12500,2762842,522
10829704,12500,2762615,522
10842204,12500,2762343,523
10854704,12500,2762372,523
10867204,12500,2762454,522
10879704,12500,2762504,522
10892208,12504,2762783,522
10904708,12500,2762913,519
10917208,12500,2762721,519
10929708,12500,2762414,520
10942212,12504,2762329,522
10954712,12500,2762606,522
10967212,12500,2762798,522
10979712,12500,2762683,519
10992212,12500,2762345,519
11004712,12500,2762436,519
11017212,12500,2762694,519
11029712,12500,2762714,519
11042212,12500,2762463,519
11054712,12500,2762455,519
11067212,12500,2762837,519
11079712,12500,2763016,519
11092212,12500,2762771,519
11104712,12500,2762645,519
