Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4564,439,434,430
4568,439,433,427
4572,439,434,429
4576,439,437,435
4580,439,435,432
4584,439,433,427
4588,439,434,429
4592,439,437,435
4596,439,436,433
4600,439,432,427
4604,439,434,428
4608,439,436,433
4612,439,437,434
4616,439,433,428
4620,439,433,427
4624,439,436,433
4628,439,437,435
4632,439,433,429
4636,439,433,427
4640,439,436,432
4644,439,437,435
4648,439,434,429
4652,439,433,427
4656,439,435,430
4660,439,437,435
4664,439,435,431
4668,439,433,427
4672,439,435,430
4676,439,437,435
4680,439,435,432
4684,439,432,427
4688,439,434,430
4692,439,437,434
4696,439,436,433
4700,439,433,427
4704,439,433,428
4708,439,437,433
4712,439,437,434
4716,439,433,428
4720,439,433,428
4724,439,436,433
4728,439,437,434
4732,439,433,428
4736,439,433,427
4740,439,436,432
4744,439,437,434
4748,439,434,430
4752,439,433,427
4756,439,435,431
4760,439,437,434
4764,439,434,430
4768,439,433,427
4772,439,435,431
4776,440,437,435
4780,439,435,432
4784,439,432,427
4788,439,434,429
4792,439,437,434
4796,439,436,433
4800,439,433,427
4804,439,434,428
4808,439,437,434
4812,439,436,433
4816,439,433,427
4820,439,434,428
4824,439,436,433
4828,439,437,435
4832,439,434,429
4836,439,433,427
4840,439,436,432
4844,439,437,435
4848,439,434,429
4852,439,433,426
4856,439,436,432
4860,439,437,435
4864,439,435,431
4868,439,432,426
4872,439,435,430
4876,439,437,435
4880,439,435,432
4884,439,432,426
4888,439,434,429
4892,439,437,435
4896,439,435,432
4900,439,433,426
4904,439,434,429
4908,439,437,434
4912,439,436,434
4916,439,433,427
4920,439,433,427
4924,439,436,433
4928,439,436,434
4932,439,433,428
4936,439,433,426
4940,439,436,433
4944,439,437,434
4948,439,433,428
4952,439,433,426
4956,439,435,431
4960,439,437,435
4964,439,434,430
4968,439,432,426
4972,439,435,430
4976,439,437,435
4980,439,435,431
4984,439,432,426
4988,439,435,430
4992,439,437,434
4996,439,436,433
